"","x"
"504",58320.565323991
"505",58320.565323991
"506",63945.7391141003
"507",129439.690930156
"508",129439.690930156
"509",35687.2823411749
"510",19657.5943718057
"511",30891.5143533947
"512",31249.7225769609
"513",39629.0024016936
"514",61163.9176424239
"515",23530.7848061969
"516",23530.7848061969
"517",23513.2427168214
"518",23530.7848061969
"519",29961.5626234411
"520",59770.537073106
"521",37758.1506319105
"522",49185.5058879745
"523",35977.4729308627
"524",43806.2364640376
"525",43989.9794779828
"526",41334.8516392529
"527",22259.3644684005
"528",22259.3644684005
"529",22259.3644684005
"530",70671.6721369696
"531",59199.7297879963
"532",56509.952410247
"533",59238.7546129777
"534",60609.4486109338
"535",10870.1061314932
"536",10870.1061314932
"537",10870.1061314932
"538",12145.1015850091
"539",12145.1015850091
"540",12145.1015850091
"541",44569.9821106034
"542",10643.2608833529
"543",10450.0905353001
"544",10643.2608833529
"545",10450.0905353001
"546",10450.0905353001
"547",10450.0905353001
"548",10450.0905353001
"549",10450.0905353001
"550",84508.2542652958
"551",103314.911380189
"552",143591.97704033
"553",70788.5690248116
"554",98469.6128558925
"555",58832.2655280565
"556",157898.316020578
"557",165075.189256939
"558",165075.189256939
"559",165075.189256939
"560",165075.189256939
"561",165075.189256939
"562",13652.3052040407
"563",13652.3052040407
"564",64103.0866300911
"565",179208.955742639
"566",48408.5493669587
"567",58783.8652618183
"568",53318.616802599
"569",69904.6991752624
"570",24227.7729839877
"571",24227.7729839877
"572",64339.9875545749
"573",139599.623920784
"574",143012.387457458
"575",142076.0309298
"576",153200.341039131
"577",153200.341039131
"578",156784.331808407
"579",156784.331808407
"580",188121.819654265
"581",145612.922020827
"582",126029.499101038
"583",80352.0786408872
"584",155251.358588867
"585",82720.2158642554
"586",82393.7127926379
"587",108311.30943264
"588",108311.30943264
"589",108311.30943264
"590",107511.170913033
"591",84541.5458753248
"592",82620.8764976722
"593",169342.177567813
"594",169342.177567813
"595",57648.9165461903
"596",59933.3841517012
"597",60354.5029159699
"598",60354.5029159699
"599",93345.0777193125
"600",60078.1657765039
"601",161426.016671008
"602",61561.7362426039
"603",83077.0845405525
"604",27466.4955843883
"605",27685.6669668758
"606",87414.3825109517
"607",101163.684722283
"608",57394.9282154297
"609",70591.5816186292
"610",188653.254634017
"611",45251.1812864594
"612",81135.5038647705
"613",87582.2736147429
"614",55842.4840826704
"615",63180.8617501889
"616",62852.550319854
"617",62941.8656646291
"618",83660.502155453
"619",40869.3799817293
"620",43639.5721146365
"621",43639.5721146365
"622",47360.7310781311
"623",39826.1288855544
"624",51804.2499577249
"625",62653.2638542326
"626",44959.234895772
"627",45520.0551073981
"628",40308.3855348384
"629",51850.8592456501
"630",53433.2508938076
"631",53777.4544608283
"632",55011.7084758136
"633",48468.1401423079
"634",14358.7658904456
"635",14815.8195164472
"636",43292.492689291
"637",153474.090573499
"638",159694.070637553
"639",159694.070637553
"640",159694.070637553
"641",159694.070637553
"642",159694.070637553
"643",36950.7291681067
"644",66507.634295069
"645",52843.5319660312
"646",52843.5319660312
"647",42585.9973269278
"648",42585.9973269278
"649",75066.4183170034
"650",172024.34932954
"651",65968.8627544786
"652",65968.8627544786
"653",162623.067163039
"654",47220.8309700299
"655",35931.3202331524
"656",36454.6823121933
"657",43744.7423183872
"658",42116.717667748
"659",48531.6919259611
"660",71977.9035801879
"661",65608.7923933859
"662",46323.7961676071
"663",63534.6960826699
"664",56442.0891579643
"665",63547.7851748552
"666",43686.8757125773
"667",57871.0157517436
"668",57772.9708990099
"669",49399.3020284118
"670",12508.6475903866
"671",12508.6475903866
"672",53046.0049033066
"673",57805.8729337238
"674",12406.0976244477
"675",27115.2712682569
"676",221115.263695218
"677",221115.263695218
"678",60788.3192083451
"679",38102.9530404604
"680",46662.8142612532
"681",60345.86975258
"682",26562.6555439244
"683",26562.6555439244
"684",131761.875922812
"685",34265.9001986686
"686",46954.6267908797
"687",55193.4258759878
"688",59438.4028103487
"689",59856.4431978501
"690",74190.3822161291
"691",44545.6332573323
"692",55795.3728110573
"693",58758.53130299
"694",37423.0346909509
"695",58749.2299798946
"696",58749.2299798946
"697",58749.2299798946
"698",57889.2313513896
"699",51386.3042035747
"700",92999.3396440703
"701",127469.257028878
"702",55375.6907236795
"703",76983.2948356081
"704",84799.4550486942
"705",88942.406719237
"706",59579.9431540633
"707",59043.3243196301
"708",66294.5458052858
"709",75123.6396583825
"710",16028.2018360415
"711",67893.9293833196
"712",65588.4604828504
"713",66431.5658828591
"714",66431.5658828591
"715",68582.7652643821
"716",75021.4739383799
"717",76997.3187581063
"718",74267.4019336621
"719",94941.4534654948
"720",94941.4534654948
"721",94941.4534654948
"722",72161.6904805382
"723",72928.4537377057
"724",210940.970052865
"725",100053.10205758
"726",103730.848141774
"727",109456.130555774
"728",102616.741461231
"729",102181.491964719
"730",102181.491964719
"731",102181.491964719
"732",102871.795165568
"733",103314.714322822
"734",116913.257014812
"735",163066.450856501
"736",167275.613195313
"737",13607.5773199448
"738",13860.6075501091
"739",52976.3395811587
"740",52976.3395811587
"741",194739.043495374
"742",54226.3277641378
"743",132868.263798223
"744",38667.7173187694
"745",199314.944257755
"746",43948.885612819
"747",86738.0888530359
"748",77398.1131895559
"749",83892.8385824636
"750",93852.2668544762
"751",89958.739980745
"752",101352.280286804
"753",101352.280286804
"754",84517.0393972236
"755",79314.5258749926
"756",107034.438233127
"757",106932.512875314
"758",91823.7823272515
"759",66102.9401946849
"760",91836.2181068334
"761",91836.2181068334
"762",91836.2181068334
"763",83089.36586292
"764",45404.6840703421
"765",109131.556296687
"766",109131.556296687
"767",130335.642935357
"768",130335.642935357
"769",85364.922493095
"770",99633.3820155722
"771",99633.3820155722
"772",105483.712515727
"773",51642.8507654307
"774",79811.67222287
"775",82750.4355425544
"776",79456.4781766258
"777",82377.1347626635
"778",85014.6830041572
"779",86116.6179850419
"780",181044.432688314
"781",181044.432688314
"782",201468.716792805
"783",80136.8845614591
"784",66177.4962875983
"785",52219.5190310425
"786",37455.5261298501
"787",103562.119781551
"788",58715.2310490333
"789",26958.8625858228
"790",71661.4683267243
"791",65703.1522998644
"792",60644.4287143057
"793",66136.7386348119
"794",77273.1756045686
"795",164455.7732469
"796",56885.7464499403
"797",40479.6959882804
"798",99003.8907362785
"799",84885.8693433109
"800",35290.7588277861
"801",70452.9685260815
"802",70452.9685260815
"803",70386.0127433118
"804",52398.8587736099
"805",118789.713108182
"806",118789.713108182
"807",41257.6212848491
"808",41257.6212848491
"809",38330.9253053942
"810",59268.0259824827
"811",67756.3484916595
"812",69283.5452808142
"813",62923.8604282084
"814",59743.6383600647
"815",51838.0535795442
"816",53330.364122056
"817",51438.6200036035
"818",51594.1650235073
"819",171262.201638199
"820",43452.4440376658
"821",44426.5033086324
"822",44426.5033086324
"823",127257.910798222
"824",71783.2198657964
"825",74516.9184036488
"826",73356.3236611527
"827",123910.044573885
"828",72971.517893197
"829",34102.9291167356
"830",95879.5584686091
"831",32431.4134171467
"832",34657.6835277226
"833",68712.4562705489
"834",36432.0219949263
"835",87957.4337225546
"836",87957.4337225546
"837",86674.7485574592
"838",97881.446777652
"839",112908.887998136
"840",112908.887998136
"841",115186.99540808
"842",115186.99540808
"843",22539.1765457254
"844",22539.1765457254
"845",24056.3395394361
"846",68918.7238540446
"847",69490.7982222843
"848",93071.2959342828
"849",93071.2959342828
"850",100819.654442267
"851",62707.0028645079
"852",184060.219837283
"853",171744.207340167
"854",43685.0425767797
"855",57276.0552730754
"856",70973.2447450887
"857",70973.2447450887
"858",70973.2447450887
"859",73387.0416713112
"860",55073.1772619586
"861",60212.443214994
"862",60212.443214994
"863",161838.198545781
"864",183798.860652207
"865",182789.027852712
"866",178113.046665404
"867",180421.694886358
"868",221885.017819477
"869",46469.8569185039
"870",61696.6228990345
"871",46106.6866205422
"872",36908.7833911669
"873",202823.387309464
"874",202823.387309464
"875",201495.425403189
"876",201495.425403189
"877",180758.392878224
"878",180758.392878224
"879",241386.702768492
"880",363666.410382217
"881",249009.477932531
"882",231231.431180596
"883",231231.431180596
"884",249009.477932531
"885",249009.477932531
"886",231231.431180596
"887",250494.777690193
"888",252239.951204202
"889",252169.959480633
"890",29233.2761875817
"891",29233.2761875817
"892",196983.461694311
"893",51497.5696411349
"894",51364.8931315181
"895",68462.1979941135
"896",74837.6829883831
"897",41332.0134976745
"898",137863.280715711
"899",137863.280715711
"900",156104.888796672
"901",156104.888796672
"902",156104.888796672
"903",156104.888796672
"904",156104.888796672
"905",170967.321441074
"906",170967.321441074
"907",179448.727584219
"908",179448.727584219
"909",150919.00151148
"910",150919.00151148
"911",150919.00151148
"912",153092.116789384
"913",153092.116789384
"914",153092.116789384
"915",153092.116789384
"916",153092.116789384
"917",153092.116789384
"918",158732.183191018
"919",25757.3930722901
"920",45656.1354986601
"921",45656.1354986601
"922",67291.7335910927
"923",76992.105378671
"924",77926.4875886148
"925",76207.6867994485
"926",129655.402489733
"927",129655.402489733
"928",116385.842146998
"929",135195.989887429
"930",114725.231550312
"931",52588.1418676919
"932",51155.8581521778
"933",62736.7913626
"934",146780.17264679
"935",158961.233046308
"936",163891.658374847
"937",164931.834659906
"938",47327.951393717
"939",46460.0195616974
"940",46460.0195616974
"941",46083.2122110039
"942",33469.386338036
"943",102245.925309724
"944",114027.571869803
"945",42739.9959564542
"946",25947.3570363055
"947",24906.065086265
"948",24801.6794313116
"949",39123.0724038909
"950",41444.3474527929
"951",18976.0345264726
"952",98123.2336634376
"953",100465.583551323
"954",100465.583551323
"955",133389.567575288
"956",142307.100852206
"957",61977.2125269254
"958",61977.2125269254
"959",33862.2658608253
"960",42693.7583438904
"961",33988.6073724342
"962",34187.0724094694
"963",44553.8330430166
"964",44598.2995971856
"965",51339.9166624961
"966",99099.2983202198
"967",113367.341359151
"968",37837.8504803391
"969",26354.6614653853
"970",35723.9558377824
"971",89557.9603545918
"972",83846.6075999509
"973",90711.0843295395
"974",78027.1026982408
"975",99101.1885073576
"976",38349.1341280642
"977",29358.8893872152
"978",111093.115629721
"979",133916.87571578
"980",54628.8063941876
"981",54628.8063941876
"982",66848.91764111
"983",95740.6735896275
"984",95740.6735896275
"985",98177.0555435234
"986",78249.9134251682
"987",32853.6909104742
"988",41917.0871079063
"989",46143.9449025606
"990",96656.5284060052
"991",19610.0908675987
"992",19610.0908675987
"993",19610.0908675987
"994",19610.0908675987
"995",19610.0908675987
"996",30964.7217825213
"997",36178.4414855002
"998",39497.0221840851
"999",28627.9924190021
"1000",30740.692736548
"1001",67258.8201767545
"1002",45375.3352911489
"1003",46278.9773810753
"1004",90285.5107109276
"1005",49888.2669304003
"1006",93627.3434949254
"1007",93134.2478450216
"1008",93627.3434949254
"1009",61827.3237425144
"1010",94779.7001255236
"1011",58509.8646468962
"1012",52067.6498348305
"1013",74190.8774920166
"1014",92610.8880202257
"1015",79782.5257532077
"1016",79782.5257532077
"1017",64512.946305763
"1018",58769.7396723041
"1019",52575.7557923851
"1020",37957.7700947621
"1021",37686.8482450289
"1022",54389.5244674929
"1023",37167.412093079
"1024",40613.7978465454
"1025",57686.3689228629
"1026",126804.218522732
"1027",129228.4051721
"1028",146810.551554434
"1029",178183.553279635
"1030",44522.8687099771
"1031",40470.9337274268
"1032",94427.1174861466
"1033",98200.5592194945
"1034",100815.808551021
"1035",102636.511681514
"1036",103727.089042952
"1037",105076.679184487
"1038",88901.1927358023
"1039",86635.4115733944
"1040",102310.009002487
"1041",99833.1193320968
"1042",103397.117068016
"1043",104742.413953773
"1044",73681.9293066309
"1045",81396.8385636217
"1046",81396.8385636217
"1047",81396.8385636217
"1048",94615.2446603139
"1049",94615.2446603139
"1050",94796.5139643527
"1051",130741.484166131
"1052",254995.5345085
"1053",109231.098286644
"1054",110391.747270177
"1055",111519.519563213
"1056",82461.9456643466
"1057",112508.819797311
"1058",20519.6683580986
"1059",20519.6683580986
"1060",20519.6683580986
"1061",25342.516590354
"1062",69267.0287653935
"1063",47475.1861056417
"1064",50834.6391811631
"1065",54597.5564819555
"1066",55172.6383532641
"1067",54823.8965786083
"1068",56342.9724439536
"1069",58005.5598070567
"1070",44966.9962062488
"1071",44966.9962062488
"1072",56154.5248072591
"1073",63012.4958877412
"1074",65596.8427224809
"1075",45857.8703102331
"1076",45763.19773343
"1077",47729.5457530975
"1078",48235.0920897392
"1079",49652.8414690732
"1080",86142.0811829184
"1081",85370.7842383952
"1082",85417.0410106127
"1083",57122.2261947352
"1084",49205.0230519674
"1085",29532.8836250545
"1086",64399.472288018
"1087",64399.472288018
"1088",64399.472288018
"1089",66530.9159396221
"1090",62490.7138799648
"1091",70831.3828250213
"1092",69932.637943398
"1093",63899.1647588614
"1094",72011.4780689948
"1095",47293.1196487861
"1096",49419.7994976211
"1097",51584.5219348876
"1098",40289.5922330586
"1099",40289.5922330586
"1100",72753.120659207
"1101",72753.120659207
"1102",60677.4615119319
"1103",69911.3661247822
"1104",81573.0850362796
"1105",64244.0929962892
"1106",63476.4944141576
"1107",42830.9058654789
"1108",80489.7467765878
"1109",49425.3611969875
"1110",13547.6124345449
"1111",13753.202501402
"1112",51500.1726381231
"1113",33503.6847923711
"1114",26724.2574342768
"1115",55377.6447419919
"1116",40347.1527659912
"1117",15099.364158503
"1118",46118.0324731109
"1119",46118.0324731109
"1120",47298.4871191427
"1121",12178.2726700059
"1122",45721.3194478505
"1123",45721.3194478505
"1124",60705.4174872356
"1125",60324.0045984322
"1126",64888.1008785381
"1127",64888.1008785381
"1128",65574.4507725339
"1129",51804.4475756325
"1130",48312.3428380092
"1131",61110.0440398984
"1132",82652.7151675478
"1133",43464.9605629381
"1134",68284.7724675755
"1135",83158.967889147
"1136",66426.0543067073
"1137",67933.1784339589
"1138",51087.7981721921
"1139",77025.4477248704
"1140",81310.7192111548
"1141",78961.1678128909
"1142",78961.1678128909
"1143",75052.388200926
"1144",68666.1426672576
"1145",94017.7273406789
"1146",93577.9791469804
"1147",66671.158550458
"1148",89022.2601300848
"1149",55075.3307009206
"1150",44024.6875610728
"1151",75908.6265730117
"1152",88693.2944685683
"1153",41382.5378884424
"1154",66640.773007502
"1155",66509.6005494368
"1156",68330.4378551437
"1157",75476.3060275052
"1158",65439.0737437909
"1159",66495.8379895175
"1160",66812.3976693736
"1161",87843.8460088896
"1162",62005.7673375523
"1163",51049.3229820794
"1164",47942.2251684769
"1165",49736.8212857428
"1166",57213.4372869341
"1167",38742.2055657665
"1168",38725.435055907
"1169",38742.2055657665
"1170",38725.435055907
"1171",100600.192920596
"1172",47536.2572192107
"1173",47083.0503576603
"1174",47659.9987733182
"1175",47659.9987733182
"1176",35495.8456337379
"1177",61045.8542303359
"1178",115002.922717872
"1179",147549.132930161
"1180",33947.3693087682
"1181",41662.3028172744
"1182",58435.8657362275
"1183",50552.401168556
"1184",24772.7690120511
"1185",46871.9919985056
"1186",17865.1039908977
"1187",17865.1039908977
"1188",18909.2118160084
"1189",41192.4366117729
"1190",71778.0172605409
"1191",70235.4105952248
"1192",72256.9296060884
"1193",71183.3119450431
"1194",40948.1875432647
"1195",50181.6783427111
"1196",65673.0826665319
"1197",45714.5178471121
"1198",23718.3246323792
"1199",98695.4382828244
"1200",35339.3577095452
"1201",50916.8787066075
"1202",52963.0034060026
"1203",52963.0034060026
"1204",50539.3860020896
"1205",51032.0916033239
"1206",62942.4659278985
"1207",61237.8669995869
"1208",61791.1309777413
"1209",60171.8587946485
"1210",54708.0007401353
"1211",54708.0007401353
"1212",67184.0069238135
"1213",67838.9799882538
"1214",65609.543230725
"1215",31641.1299758281
"1216",80313.0835818902
"1217",94340.5264995242
"1218",58798.5549905293
"1219",58798.5549905293
"1220",58798.5549905293
"1221",72912.04178626
"1222",35074.2777222467
"1223",35074.2777222467
"1224",35074.2777222467
"1225",35074.2777222467
"1226",35074.2777222467
"1227",24979.9966689178
"1228",24710.57131898
"1229",25516.6906121447
"1230",52019.3077549988
"1231",63587.1292743022
"1232",55020.0507655884
"1233",71728.9533424685
"1234",71728.9533424685
"1235",85187.3885992043
"1236",59935.7847908036
"1237",59935.7847908036
"1238",59656.7562599441
"1239",77501.0024586046
"1240",58693.1171073766
"1241",84686.79569032
"1242",106021.967911413
"1243",106021.967911413
"1244",106021.967911413
"1245",106021.967911413
"1246",106021.967911413
"1247",106021.967911413
"1248",106021.967911413
"1249",123441.561885903
"1250",49527.0430761037
"1251",49527.0430761037
"1252",69781.0093840607
"1253",69781.0093840607
"1254",69781.0093840607
"1255",69781.0093840607
"1256",70908.4994048719
"1257",88496.6845366573
"1258",73382.9825180401
"1259",73382.9825180401
"1260",97852.0468819653
"1261",95287.4141307732
"1262",16046.8765273641
"1263",57122.1717187612
"1264",58016.5692158198
"1265",58252.7498158985
"1266",56100.3016844754
"1267",51648.3671115951
"1268",50410.2357605147
"1269",119931.201702491
"1270",29381.6892742187
"1271",75965.403208087
"1272",60685.8527399108
"1273",115407.457127816
"1274",183738.747985772
"1275",66642.1712012297
"1276",66331.9213698732
